Subject,Catalog #,Type,Title,Facility,Days,Start,End,Building,Room
AEROSPC,1A,LEC,Found Us Air Force,Hearst Gym 188,F,1000,1059,hearstgym,188
AEROSPC,2A,LEC,Evolut Of Air Power,Hearst Gym 188,F,1100,1159,hearstgym,188
AEROSPC,100,LAB,Leadership Lab,Barrows 126,F,1400,1559,barrows,126
AEROSPC,135A,SEM,Air Force Studies,Hearst Gym 144,M,1600,1859,hearstgym,144
AEROSPC,135A,SEM,Air Force Studies,Hearst Gym 144,M,1600,1859,hearstgym,144
AFRICAM,R1A,LEC,Fresh Composition,Barrows 80,MWF,900,959,barrows,80
AFRICAM,R1A,DIS,Fresh Composition,Evans 39,M,1000,1059,evans,39
AFRICAM,R1B,LEC,Freshmn Composition,Barrows 180,MWF,1100,1159,barrows,180
AFRICAM,R1B,LEC,Freshmn Composition,Barrows 180,MWF,1200,1259,barrows,180
AFRICAM,R1B,DIS,Freshmn Composition,Evans 65,M,1200,1259,evans,65
AFRICAM,R1B,DIS,Freshmn Composition,Giannini 332,M,1300,1359,giannini,332
AFRICAM,4A,LEC,Africa:  Hist & Cul,Moffitt Library 145,TR,1530,1659,moffittlibrary,145
AFRICAM,4A,DIS,Africa:  Hist & Cul,Barrows 155,W,800,859,barrows,155
AFRICAM,4A,DIS,Africa:  Hist & Cul,Barrows 136,W,1200,1259,barrows,136
AFRICAM,5A,LEC,Afam Life & Cul U S,Barker 101,TR,1100,1229,barker,101
AFRICAM,5A,DIS,Afam Life & Cul U S,Barrows 151,W,800,859,barrows,151
AFRICAM,5A,DIS,Afam Life & Cul U S,Latimer 102,W,1000,1059,latimer,102
AFRICAM,5A,DIS,Afam Life & Cul U S,Valley Life Sciences 2038,R,1400,1459,valleylifesciences,2038
AFRICAM,10A,REC,Intermed Swahili,Barrows 102,MTWR,1200,1259,barrows,102
AFRICAM,10A,LAB,Intermed Swahili,Barrows 102,F,1200,1259,barrows,102
AFRICAM,11A,REC,Elementary Swahili,Giannini 201,MTWR,900,959,giannini,201
AFRICAM,11A,LAB,Elementary Swahili,Barrows 50,F,900,959,barrows,50
AFRICAM,15A,REC,Advanced Swahili,Barrows 186,MW,1000,1159,barrows,186
AFRICAM,15A,LAB,Advanced Swahili,Barrows 102,F,1000,1059,barrows,102
AFRICAM,27AC,LEC,Lives/Strug/Maj Cul,Dwinelle 145,TR,1230,1359,dwinelle,145
AFRICAM,27AC,DIS,Lives/Strug/Maj Cul,Evans 75,W,1300,1359,evans,75
